name,city,region,holes,distance_mi,tee_name,gender,rating,slope,yardage,notes
3 Par at Four Points,"San Diego, CA",SD,9,,Only tee,,27.0,80,793,9-hole par-3 course (par 27); file listed 18 holes
"500 Club, The","Glendale, AZ",AZ,18,,Championship,,72.2,122,6867,Par 72
"500 Club, The","Glendale, AZ",AZ,18,,Regular,,69.0,118,6203,Par 72
"500 Club, The","Glendale, AZ",AZ,18,,Forward,,71.3,125,5601,Likely women's rating
Abernathy Country Club,"Abernathy, TX",TX,9,,Only tee,,34.5,,,9-hole course; slope/yardage not published publicly
Abilene Country Club (North Course),"Abilene, TX",TX,18,,Black,,72.1,133,6415,Men's rating; par 71
Abilene Country Club (North Course),"Abilene, TX",TX,18,,White,,70.0,129,6022,Men's rating
Abilene Country Club (North Course),"Abilene, TX",TX,18,,Gold,,67.3,126,5517,Men's rating
Abilene Country Club (North Course),"Abilene, TX",TX,18,,Green,,64.5,120,4916,Men's rating
Abilene Country Club (North Course),"Abilene, TX",TX,18,,Blue,,62.1,116,4287,Men's rating
Admiral Baker Golf Course (North),"San Diego, CA",SD,18,,Back,,72.4,126,6811,Par 72; only back-tee rating found
Admiral Baker Golf Course (South),"San Diego, CA",SD,18,,Back,,68.2,116,6061,Par 72; only back-tee rating found
Adobe Creek Golf Course,"Petaluma, CA",NC,18,,Back,,73.8,131,6886,Par 72
Adobe Creek Golf Course,"Petaluma, CA",NC,18,,Middle,,71.0,124,6290,Approximate
Adobe Creek Golf Course,"Petaluma, CA",NC,18,,Forward,,69.4,120,5743,
Adobe Creek Golf Course,"Petaluma, CA",NC,18,,Front,,,,5085,Rating/slope not found
Aguila Golf Course,"Laveen, AZ",AZ,18,,Championship,,73.0,125,6962,Par 72; four tee sets exist
Ahwatukee Country Club,"Phoenix, AZ",AZ,18,,Back,,70.6,119,6713,Par 72
Ahwatukee Country Club,"Phoenix, AZ",AZ,18,,Middle,,68.1,114,6103,
Ahwatukee Country Club,"Phoenix, AZ",AZ,18,,Forward,,65.5,107,5497,
Ahwatukee Country Club,"Phoenix, AZ",AZ,18,,Yellow,,61.2,96,,Yardage not found
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,Tips,,76.5,142,,Par 72; yardages ~5800-7500+
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,Black,,75.2,138,,
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,Gold,,72.7,132,,
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,Blue,,71.2,129,,
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,White,,68.7,124,,
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,White/Red,,66.8,115,,
Ak-Chin Southern Dunes Golf Club,"Maricopa, AZ",AZ,18,,Red,,64.3,105,,
Alamo Country Club,"Alamo, TX",TX,9,,Black,,31.9,109,2332,9-hole par 35; file listed 18 holes
Alamo Country Club,"Alamo, TX",TX,9,,White,,31.8,104,2205,
Alamo Country Club,"Alamo, TX",TX,9,,Gold,,31.0,100,1972,
Alamo Country Club,"Alamo, TX",TX,9,,Red,,31.4,104,1881,
Alamo Country Club,"Alamo, TX",TX,9,,Blue,,30.1,100,1584,
Airways Golf Course,"Fresno, CA",NC,18,,White,,70.3,119,5295,Par listed 69-71 across sources
Airways Golf Course,"Fresno, CA",NC,18,,Red,,,118,5130,Rating not found
Aldarra Golf Club,"Sammamish, WA",PNW,18,,Back,,74.0,,6885,Par 71; slopes not published in sources
Aldarra Golf Club,"Sammamish, WA",PNW,18,,Club,,70.8,,6203,
Aldarra Golf Club,"Sammamish, WA",PNW,18,,Front,,69.8,,5049,
Aliante Golf Club,"North Las Vegas, NV",NV,18,,Blue-Eagle,,72.6,125,6883,Par 72
Aliante Golf Club,"North Las Vegas, NV",NV,18,,Gold-Falcon,,70.3,130,6522,
Aliante Golf Club,"North Las Vegas, NV",NV,18,,Gold/White,,68.9,129,6249,
Aliante Golf Club,"North Las Vegas, NV",NV,18,,White-Hawk,,68.1,119,5974,
Aliante Golf Club,"North Las Vegas, NV",NV,18,,White/Green,,66.5,112,5612,
Aliante Golf Club,"North Las Vegas, NV",NV,18,,Green-Dove,,64.7,105,5209,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,Black,,71.5,129,6571,Men's rating; par 72 (Ridge/Creek 18)
Aliso Viejo Country Club,Aliso Viejo,OC,18,,Black/Blue,,70.9,127,6421,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,Blue,,70.0,125,6247,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,Blue/White,,69.0,123,6056,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,White,,68.5,121,5934,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,White/Gold,,67.0,117,5608,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,Gold,,65.7,114,5313,
Aliso Viejo Country Club,Aliso Viejo,OC,18,,Green,,63.7,109,4948,
Alondra Park Golf Course,Lawndale,LA,18,2,Blue,M,70.0,118,6445,North Course par 72
Alondra Park Golf Course,Lawndale,LA,18,2,Blue,W,76.7,129,6445,
Alondra Park Golf Course,Lawndale,LA,18,2,White,M,68.4,114,6090,
Alondra Park Golf Course,Lawndale,LA,18,2,White,W,74.6,124,6090,
Alondra Park Golf Course,Lawndale,LA,18,2,Red,M,66.3,109,5640,
Alondra Park Golf Course,Lawndale,LA,18,2,Red,W,72.1,118,5640,
Alondra Park Golf Course,Lawndale,LA,18,2,Orange,M,60.0,94,4261,
Alondra Park Golf Course,Lawndale,LA,18,2,Orange,W,64.3,101,4261,
Westchester Golf Course,Westchester,LA,18,7,Blue,M,64.2,109,4345,Executive/par-64 course
Westchester Golf Course,Westchester,LA,18,7,White,M,,91,4014,Rating not found
Los Verdes Golf Course,Rancho Palos Verdes,LA,18,9,Blue,M,71.7,122,6617,Par 71
Los Verdes Golf Course,Rancho Palos Verdes,LA,18,9,White,M,69.5,119,6234,
Los Verdes Golf Course,Rancho Palos Verdes,LA,18,9,White,W,75.4,127,6234,
Los Verdes Golf Course,Rancho Palos Verdes,LA,18,9,Red,W,73.6,123,5772,
Trump National Golf Club Los Angeles,Rancho Palos Verdes,LA,18,9,Black,M,75.0,146,7242,Par 71
Trump National Golf Club Los Angeles,Rancho Palos Verdes,LA,18,9,Blue,M,72.1,138,6291,
Trump National Golf Club Los Angeles,Rancho Palos Verdes,LA,18,9,White,M,69.8,133,5881,
Trump National Golf Club Los Angeles,Rancho Palos Verdes,LA,18,9,Red,W,71.6,138,5270,Forward/women's tee
Trump National Golf Club Los Angeles,Rancho Palos Verdes,LA,18,9,Gold,W,68.6,124,4538,
Penmar Golf Course,Venice,LA,9,10,Championship,M,32.0,104,2582,9-hole par 33
Penmar Golf Course,Venice,LA,9,10,Mens,M,31.9,99,2501,
Penmar Golf Course,Venice,LA,9,10,Ladies,W,30.5,94,2298,
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,I,M,73.7,133,6950,Par 71; yardages/ratings vary across sources
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,I,W,78.9,141,6950,
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,I/II,M,72.3,130,6690,
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,II,M,71.2,128,6465,
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,II,W,77.2,139,6465,
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,White,M,68.9,124,6069,
Hillcrest Country Club,"Los Angeles, CA",LA,18,12,White,W,74.5,137,6069,
Rancho Park Golf Course,West Los Angeles,LA,18,12,Championship,M,72.8,130,6839,Par 71
Rancho Park Golf Course,West Los Angeles,LA,18,12,Blue,M,71.2,121,6630,
Rancho Park Golf Course,West Los Angeles,LA,18,12,White,M,69.7,117,6308,
Rancho Park Golf Course,West Los Angeles,LA,18,12,White,W,76.2,128,6308,
Rancho Park Golf Course,West Los Angeles,LA,18,12,Red,W,74.7,125,6021,
Lakewood Country Club,"Lakewood, CA",OC,18,13,Championship,M,73.2,128,7033,Par 72; sources vary on slope
Lakewood Country Club,"Lakewood, CA",OC,18,13,White,M,70.0,120,6416,Women's ratings not published in sources
Rio Hondo Golf Club,Downey,LA,18,14,Blue,M,70.7,124,6360,Par 71
Rio Hondo Golf Club,Downey,LA,18,14,Blue,W,77.1,134,6360,
Rio Hondo Golf Club,Downey,LA,18,14,White,M,69.1,120,6030,
Rio Hondo Golf Club,Downey,LA,18,14,White,W,75.1,130,6030,
Rio Hondo Golf Club,Downey,LA,18,14,Gold,M,67.4,116,5657,
Rio Hondo Golf Club,Downey,LA,18,14,Gold,W,72.7,126,5657,
Rio Hondo Golf Club,Downey,LA,18,14,Red,M,64.7,109,5103,
Rio Hondo Golf Club,Downey,LA,18,14,Red,W,69.7,121,5103,
Brentwood Country Club,Brentwood,LA,18,14,Back,M,72.3,124,6734,Par 72; women's ratings not published in sources
Wilshire Country Club,Hancock Park,LA,18,14,Back,M,71.5,126,6531,Par 71; women's ratings not published in sources
Riviera Country Club,Pacific Palisades,LA,18,14,Black,M,76.3,144,7400,Par 71
Riviera Country Club,Pacific Palisades,LA,18,14,Black,W,83.7,155,7400,
Riviera Country Club,Pacific Palisades,LA,18,14,Blue,M,74.7,139,7040,
Riviera Country Club,Pacific Palisades,LA,18,14,Blue,W,81.7,151,7040,
Riviera Country Club,Pacific Palisades,LA,18,14,White,M,72.4,132,,Yardage not found
Riviera Country Club,Pacific Palisades,LA,18,14,White,W,78.8,145,,
Riviera Country Club,Pacific Palisades,LA,18,14,Green,M,70.6,127,,
Riviera Country Club,Pacific Palisades,LA,18,14,Green,W,76.7,140,,
Riviera Country Club,Pacific Palisades,LA,18,14,Gold,M,68.7,122,,
